enc,objective,ssl_mode,is_stopgrad,is_ema,architecture_exact,architecture,family,patch_size,n_parameters,z_dim,z_layer,epochs,batch_size,optimizer,learning_rate,weight_decay,scheduler,pretraining_data,img_size,is_aug_invariant,year,is_official,is_industry,n_classes,pred_dim,projection_hid_width,projection_hid_depth,projection1_arch,projection2_arch,projection_same,projection_nparameters,n_negatives,finetuning_data,other,nviews,n_augmentations,is_aug_autoaug,is_aug_blur,is_aug_color,is_aug_crop,is_aug_erasing,is_aug_flip,is_aug_gray,is_aug_jigsaw,is_aug_masking,is_aug_normalize,is_aug_photometric,is_aug_rotate,is_aug_solarize,is_aug_anygeometric,is_aug_anycolor
pirl_rn50_ep200,pirl,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,1,1,,64.0,,,linear,linear,1.0,0.0,16384.0,,,2,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1
pirl_rn50_ep200_headmlp,pirl,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,1,1,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,16384.0,,,2,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1
pirl_rn50_headmlp,pirl,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,1,1,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,16384.0,,,2,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1
pirl_rn50w2,pirl,contrastive,0,0,resnet50w2,resnet50w2,resnet,4,90000000.0,2048,avgpool,400.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,1,1,,64.0,,,linear,linear,1.0,0.0,16384.0,,,2,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1
pirl_rn50w2_headmlp,pirl,contrastive,0,0,resnet50w2,resnet50w2,resnet,4,90000000.0,2048,avgpool,400.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,1,1,,64.0,4096.0,1.0,mlp,mlp,1.0,20000000.0,16384.0,,,2,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1
relativeloc_rn50_70ep_mmselfsup,locnet,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,512,sgd,0.1,0.0001,multistep,ImageNet-1K,128,1,2015,0,0,0.0,64.0,4096.0,3.0,mlp,,,50000000.0,,,,2,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
rotnet_rn50_in1k,rotnet,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-1K,128,1,2018,0,0,0.0,,,,linear,,,0.0,,,,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
rotnet_rn50_in22k,rotnet,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-22K,128,1,2018,0,0,0.0,,,,linear,,,0.0,,,,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
selav2_rn50_ep400_2x224,sela,clustering,1,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,1,1,3000.0,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
simclr_resnet50_d8192_e100_m2,simclr,contrastive,0,0,resnet50d8192,resnet50,resnet,4,30000000.0,4096,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,0,0,,64.0,2048.0,2.0,mlp,mlp,1.0,20000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
simclr_resnet50_dnone_e100_m2,simclr,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2020,0,0,,64.0,2048.0,2.0,mlp,mlp,1.0,10000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
simclr_resnet50_dnone_e100_m2_data010,simclr,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,10% ImageNet-1K,128,1,2020,0,0,,64.0,2048.0,2.0,mlp,mlp,1.0,10000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
